text,label
it 's a bad thing when a movie has about as much substance as its end credits blooper reel .,0
"murder by numbers ' is n't a great movie , but it 's a perfectly acceptable widget .",2
"a fantastically vital movie that manages to invest real humor , sensuality , and sympathy into a story about two adolescent boys .",4
"a compelling , moving film that respects its audience and its source material .",4
"although bright , well-acted and thought-provoking , tuck everlasting suffers from a laconic pace and a lack of traditional action .",2
in terms of execution this movie is careless and unfocused .,0
would benigni 's italian pinocchio have been any easier to sit through than this hastily dubbed disaster ?,0
"here , thankfully , they are .",2
... myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-tarantino pop-culture riffs ...,2
one of the greatest films i 've ever seen .,4
"philosophically , intellectually and logistically a mess .",0
"a movie that 's just plain awful but still manages to entertain on a guilty-pleasure , so-bad-it 's - funny level .",2
"this is a harrowing movie about how parents know where all the buttons are , and how to push them .",2
"wo n't be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , daniel auteuil , have a whale of a good time .",4
gambling and throwing a basketball game for money is n't a new plot -- in fact toback himself used it in black and white .,2
the lead actors share no chemistry or engaging charisma .,0
the marquis de sade could n't have been as dull a person as this film makes him out to be .,2
about as original as a gangster sweating bullets while worrying about a contract on his life .,2
"once ice-t sticks his mug in the window of the couple 's bmw and begins haranguing the wife in bad stage dialogue , all credibility flies out the window .",0
the plot 's clearly mythic structure may owe more to disney 's strong sense of formula than to the original story .,2
takes a simple premise and carries it to unexpected heights .,4
long time dead ?,2
what can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?,2
"smug , artificial , ill-constructed and fatally overlong ... it never finds a consistent tone and lacks bite , degenerating into a pious , preachy soap opera .",2
"chicago is , in many ways , an admirable achievement .",4
"i believe silberling had the best intentions here , but he just does n't have the restraint to fully realize them .",2
"the movie worked for me right up to the final scene , and then it caved in .",2
"even if the ride 's a little bumpy , with a final lap that 's all too suspiciously smooth , you gotta give director roger michell , best known for the superfluous notting hill , credit for trying .",2
a modestly made but profoundly moving documentary .,4
tells -lrb- the story -rrb- with such atmospheric ballast that shrugging off the plot 's persnickety problems is simply a matter of -lrb- being -rrb- in a shrugging mood .,2
suffers from a decided lack of creative storytelling .,2
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand .",4
"a long , dull procession of despair , set to cello music culled from a minimalist funeral .",0
"the comic performances are all spot on , especially lee ross 's turn as ken .",4
"perhaps not since nelson eddy crooned his indian love call to jeanette macdonald has there been a movie so unabashedly canadian , not afraid to risk american scorn or disinterest .",2
his warriors collide in balletic explosion that implies an underlying order throughout the chaos .,2
"a drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .",2
the first fatal attraction was vile enough .,0
"a film that presents an interesting , even sexy premise then ruins itself with too many contrivances and goofy situations .",2
"despite impeccable acting ... and a script that takes some rather unexpected -lrb- even , at times , preposterous -rrb- turns , love is just too , too precious in the end .",2
it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,0
"all in all , brown sugar is a satisfying well-made romantic comedy that 's both charming and well acted .",4
it 's everything you 'd expect -- but nothing more .,2
smart and taut .,4
"dark and disturbing , yet compelling to watch .",2
ferrara 's strongest and most touching movie of recent years .,4
"high crimes is a cinematic misdemeanor , a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd .",0
the movie makes absolutely no sense .,0
"behind the glitz , hollywood is sordid and disgusting .",0
"the movie has a soft , percolating magic , a deadpan suspense .",4
"maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",4
the movie is about as humorous as watching your favorite pet get buried alive .,0
"although jackson is doubtless reserving the darkest hours for the return of the king , we long for a greater sense of urgency in the here and now of the two towers .",2
this is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life .,0
"an entertaining british hybrid of comedy , caper thrills and quirky romance .",4
"essentially , the film is weak on detail and strong on personality",2
you can thank me for this .,2
-lrb- an -rrb- hilarious romantic comedy .,4
best described as i know what you did last winter .,2
done in mostly by a weak script that ca n't support the epic treatment .,0
"tony gayton 's script does n't give us anything we have n't seen before , but director d.j. caruso 's grimy visual veneer and kilmer 's absorbing performance increase the gravitational pull considerably .",2
"a sexy , surprising romance ... idemoto and kim make a gorgeous pair ... their scenes brim with sexual possibility and emotional danger .",4
"a love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats .",4
a delightful entree in the tradition of food movies .,4
"moretti plays giovanni , a psychiatrist who predictably finds it difficult to sustain interest in his profession after the family tragedy .",2
"just what makes us happy , anyway ?",2
a crisply made movie that is no more than mildly amusing .,2
"like all abstract art , the film does not make this statement in an easily accessible way , and -- unless prewarned -- it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all .",2
"the film makes a tragic error by going on for too long , trying to mirror every subsequent event in chinese history : war , revolution , communism , etc. .",0
"makes for some truly odd , at times confusing , kids entertainment ... but at least this time there 's some centered storytelling to go along with all the weird stuff .",2
it took 19 predecessors to get this ?,0
"as weber and weissman demonstrate with such insight and celebratory verve , the cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .",4
"like brosnan 's performance , evelyn comes from the heart .",4
"theirs is a simple and heart-warming story , full of mirth that should charm all but the most cynical .",4
the disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .,2
master of disguise runs for only 71 minutes and feels like three hours .,0
"the vintage is pure ' 87 , with a halfhearted twist on its cautionary message : fatal attraction = do n't have an affair with a nutjob ; unfaithful = do n't if you 're married to one .",2
it is nature against progress .,2
"for most movies , 84 minutes is short , but this one feels like a life sentence .",0
the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .,0
"scotland , pa. blurs the line between black comedy and black hole .",2
"... a ho-hum affair , always watchable yet hardly memorable .",2
let 's face it -- there are n't many reasons anyone would want to see crossroads if they 're not big fans of teen pop kitten britney spears .,2
a thriller made from a completist 's checklist rather than with a cultist 's passion .,2
a genuinely moving and wisely unsentimental drama .,4
"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well .",4
ice cube holds the film together with an engaging and warm performance ...,4
the most anti-human big studio picture since 3000 miles to graceland .,2
it trusts the story it sets out to tell .,4
"it 's a loathsome movie , it really is and it makes absolutely no sense .",0
plays like a checklist of everything rob reiner and his cast were sending up .,2
witless but watchable .,2
this dramatically shaky contest of wills only reiterates the old hollywood saw : evil is interesting and good is boring .,2
-lrb- hell is -rrb- looking down at your watch and realizing serving sara is n't even halfway through .,0
"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0
"a new film from bill plympton , the animation master , is always welcome .",4
its underlying mythology is a hodgepodge of inconsistencies that pose the question : since when did dumb entertainment have to be this dumb ?,0
it 's the perfect kind of film to see when you do n't want to use your brain .,2
"in its best moments , resembles a bad high school production of grease , without benefit of song .",0
"much of the way , though , this is a refreshingly novel ride .",4
"if you 're the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix , i have just one word for you - -- decasia",0
"they 're going through the motions , but the zip is gone .",2
a thought-provoking picture .,4
give credit to everyone from robinson down to the key grip that this bold move works .,4
this loud and thoroughly obnoxious comedy about a pair of squabbling working-class spouses is a deeply unpleasant experience .,0
offers a breath of the fresh air of true sophistication .,4
"director juan jose campanella could have turned this into an argentine retread of `` iris '' or `` american beauty , '' but instead pulls a little from each film and creates something more beautiful than either of those films .",4
entertaining but like shooting fish in a barrel .,2
"to work , love stories require the full emotional involvement and support of a viewer .",2
"super troopers is an odd amalgam of comedy genres , existing somewhere between the often literal riffs of early zucker brothers\/abrahams films , and the decidedly foul stylings of their post-modern contemporaries , the farrelly brothers .",2
it 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post-soviet russia .,4
you might be shocked to discover that seinfeld 's real life is boring .,2
a dopey movie clothed in excess layers of hipness .,2
lovely and poignant .,4
this is it .,2
remember the kind of movie we were hoping `` ecks vs. sever '' or `` xxx '' was going to be ?,2
"this little film is so slovenly done , so primitive in technique , that it ca n't really be called animation .",0
"... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the warren report .",2
now he makes them .,2
"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality .",0
a fascinating but choppy documentary .,2
kinnear gives a tremendous performance .,4
windtalkers celebrates the human spirit and packs an emotional wallop .,4
only two-fifths of a satisfying movie experience .,2
"a fast , funny , highly enjoyable movie .",4
"borstal boy represents the worst kind of filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy .",0
it 's difficult to say whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw .,0
a coming-of-age movie that hollywood would n't have the guts to make .,4
"the cold and dreary weather is a perfect metaphor for the movie itself , which contains few laughs and not much drama .",0
"nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , easily one of the best films of the year .",4
"meyjes focuses too much on max when he should be filling the screen with this tortured , dull artist and monster-in-the - making .",2
"... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",0
"in the new release of cinema paradiso , the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned .",4
manages to be sweet and wickedly satisfying at the same time .,4
i have to admit i walked out of runteldat .,0
malone does have a gift for generating nightmarish images that will be hard to burn out of your brain .,2
... they missed the boat .,2
"an elegant , exquisitely modulated psychological thriller .",4
`` interview '' loses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into .,0
"van wilder does n't bring anything new to the proverbial table , but it does possess a coherence absent in recent crass-a-thons like tomcats , freddy got fingered , and slackers .",2
a didactic and dull documentary glorifying software anarchy .,0
"the movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it .",0
what might have emerged as hilarious lunacy in the hands of woody allen or mel brooks -lrb- at least during their '70s heyday -rrb- comes across as lame and sophomoric in this debut indie feature .,0
fun and nimble .,4
the entire film is one big excuse to play one lewd scene after another .,0
"at times funny and at other times candidly revealing , it 's an intriguing look at two performers who put themselves out there because they love what they do .",4
adaptation is simply brilliant .,4
"meandering and glacially paced , and often just plain dull .",2
moving and vibrant .,4
"bursting through the constraints of its source , this is one adapted - from-television movie that actually looks as if it belongs on the big screen .",4
diane lane shines in unfaithful .,4
"it feels like a community theater production of a great broadway play : even at its best , it will never hold a candle to the original .",0
"schnitzler 's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying .",2
"... if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride .",0
black-and-white and unrealistic .,0
it 's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it .,4
"with its jerky hand-held camera and documentary feel , bloody sunday is a sobering recount of a very bleak day in derry .",2
"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",0
but its awkward structure keeps breaking the spell .,2
"although barbershop boasts some of today 's hottest and hippest acts from the world of television , music and stand-up comedy , this movie strangely enough has the outdated swagger of a shameless ` 70s blaxploitation shuck-and-jive sitcom .",2
"we get light showers of emotion a couple of times , but then -- strangely -- these wane to an inconsistent and ultimately unsatisfying drizzle .",2
"in that setting , their struggle is simply too ludicrous and borderline insulting .",0
candid camera on methamphetamines .,2
"sweet home alabama is one dumb movie , but its stupidity is so relentlessly harmless that it almost wins you over in the end .",2
"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",2
captures the raw comic energy of one of our most flamboyant female comics .,4
"ze movie starts out so funny , then she is nothing .",2
"there is a real subject here , and it is handled with intelligence and care .",4
"if you 're looking for comedy to be served up , better look elsewhere .",0
"that rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions between fiction and nonfiction film .",4
"a chance to see three splendid actors turn a larky chase movie into an emotionally satisfying exploration of the very human need to be somebody , and to belong to somebody .",4
those who are n't put off by the film 's austerity will find it more than capable of rewarding them .,4
nearly every attempt at humor here is doa .,0
"`` i blame all men for war , '' -lrb- the warden 's daughter -rrb- tells her father .",2
"a taut , sobering film .",4
terrible .,0
"for all its visual panache and compelling supporting characters , the heart of the film rests in the relationship between sullivan and his son .",4
"an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",4
"as commander-in-chief of this film , bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .",4
"soulless and -- even more damning -- virtually joyless , xxx achieves near virtuosity in its crapulence .",0
an already thin story boils down to surviving invaders seeking an existent anti-virus .,0
and it 's not that funny -- which is just generally insulting .,0
works as pretty contagious fun .,4
a rumor of angels does n't just slip -- it avalanches into forced fuzziness .,0
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality .",0
"finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original .",4
"it 's like a `` big chill '' reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",2
"scores no points for originality , wit , or intelligence .",0
if only there were one for this kind of movie .,2
"as it is , it 's too long and unfocused .",0
helps to remind the first world that hiv\/aids is far from being yesterday 's news .,2
"i had more fun with ben stiller 's zoolander , which i thought was rather clever .",2
"it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .",4
makes a joke out of car chases for an hour and then gives us half an hour of car chases .,0
"the movie barely makes sense , with its unbelievable naïveté and arbitrary flashbacks .",0
"we get an image of big papa spanning history , rather than suspending it .",2
... a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs .,4
"what bloody sunday lacks in clarity , it makes up for with a great , fiery passion .",2
fans of so-bad-they 're - good cinema may find some fun in this jumbled mess .,2
ranges from laugh-out-loud hilarious to wonder-what - time-it-is tedious .,2
"the powers team has fashioned a comedy with more laughs than many , no question .",4
"mostly honest , this somber picture reveals itself slowly , intelligently , artfully .",4
we learn a lot about dying coral and see a lot of life on the reef .,2
my wife 's plotting is nothing special ; it 's the delivery that matters here .,2
i prefer to think of it as `` pootie tang with a budget . '',2
"the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry .",4
"`` frailty '' offers chills much like those that you get when sitting around a campfire around midnight , telling creepy stories to give each other the willies .",4
`` abandon '' will leave you wanting to abandon the theater .,0
a remarkably insightful look at the backstage angst of the stand-up comic .,4
"it shares the first two films ' loose-jointed structure , but laugh-out-loud bits are few and far between .",2
director clare kilner 's debut is never as daft as it should have been .,2
"for its 100 minutes running time , you 'll wait in vain for a movie to happen .",0
"dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement .",4
a movie far more cynical and lazy than anything a fictitious charlie kaufman might object to .,0
"on a cutting room floor somewhere lies ... footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",0
"while it 's nice to watch a movie that has n't been focus-grouped into tedium , yu 's cinematic alchemy produces nearly as much lead as gold .",2
a brutal and funny work .,4
uses high comedy to evoke surprising poignance .,4
"as a belated nod to some neglected all-stars , standing in the shadows of motown is cultural history of the best kind : informative , revealing and richly entertaining .",4
confounding because it solemnly advances a daringly preposterous thesis .,2
"the issues are presented in such a lousy way , complete with some of the year 's -lrb- unintentionally -rrb- funniest moments , that it 's impossible to care .",0
it 's the movie equivalent of a sweaty old guy in a rain coat shopping for cheap porn .,2
constantly slips from the grasp of its maker .,0
the film has the courage of its convictions and excellent performances on its side .,4
"well-acted , well-directed and , for all its moodiness , not too pretentious .",4
"pretension , in its own way , is a form of bravery .",2
"... an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you 'll wonder if lopez 's publicist should share screenwriting credit .",0
"it would be interesting to hear from the other side , but in talk to her , the women are down for the count .",2
"it may be about drug dealers , kidnapping , and unsavory folks , but the tone and pacing are shockingly intimate .",2
"the movie ultimately relies a bit too heavily on grandstanding , emotional , rocky-like moments ... but it 's such a warm and charming package that you 'll feel too happy to argue much .",2
a limp eddie murphy vehicle that even he seems embarrassed to be part of .,0
it just did n't mean much to me and played too skewed to ever get a hold on -lrb- or be entertained by -rrb- .,0
the film will appeal to discovery channel fans and will surely widen the perspective of those of us who see the continent through rose-colored glasses .,2
"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll .",4
"to enjoy this movie 's sharp dialogue and delightful performance by jolie and burns , you have to gloss over the no sense ending .",2
"as is most commonly case with projects such noble and lofty ambitions , the film is less poetic than simply pretentious .",2
it 's a glorious groove that leaves you wanting more .,4
but even with the two-wrongs-make-a-right chemistry between jolie and burns ... this otherwise appealing picture loses its soul to screenwriting for dummies conformity .,2
smith is careful not to make fun of these curious owners of architectural oddities .,2
several degrees shy of the gross-out contests one expects from current teen fare .,2
the film 's snags and stumblings are more than compensated for by its wryly subversive tone .,2
these people would n't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance .,0
"if you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",4
"because the film deliberately lacks irony , it has a genuine dramatic impact ; it plays like a powerful 1957 drama we 've somehow never seen before .",4
schnitzler does a fine job contrasting the sleekness of the film 's present with the playful paranoia of the film 's past . ',4
"all the characters are stereotypes , and their interaction is numbingly predictable .",0
"the film is a hoot , and is just as good , if not better than much of what 's on saturday morning tv especially the pseudo-educational stuff we all ca n't stand .",4
newcomer helmer kevin donovan is hamstrung by a badly handled screenplay of what is really an amusing concept -- a high-tech tux that transforms its wearer into a superman .,2
"when it 's all wet , blue crush is highly enjoyable .",4
"warm in its loving yet unforgivingly inconsistent depiction of everyday people , relaxed in its perfect quiet pace and proud in its message .",4
"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",4
"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! '",0
"trite , banal , cliched , mostly inoffensive .",0
"the makers have forsaken the entertaining elements of the original and , instead , rehash old jokes and leave any life at the doorstep .",0
we do n't get paid enough to sit through crap like this .,0
"`` analyze that '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
a charming romantic comedy that is by far the lightest dogme film and among the most enjoyable .,4
"with dirty deeds , david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",4
"before long , you 're desperate for the evening to end .",0
"an earnest racial-issues picture that might have gotten respectful critical praise in a different era -- say , the '60s .",2
some movies blend together as they become distant memories .,2
"arliss howard 's ambitious , moving , and adventurous directorial debut , big bad love , meets so many of the challenges it poses for itself that one can forgive the film its flaws .",4
"standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow .",4
"in capturing the understated comedic agony of an ever-ruminating , genteel yet decadent aristocracy that can no longer pay its bills , the film could just as well be addressing the turn of the 20th century into the 21st .",2
turturro is fabulously funny and over the top as a ` very sneaky ' butler who excels in the art of impossible disappearing\/reappearing acts,4
"cuaron repeatedly , perversely undercuts the joie de vivre even as he creates it , giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective .",4
"not always too whimsical for its own good -lrb- but enough to do harm -rrb- , this strange hybrid of crime thriller , quirky character study , third-rate romance and female empowerment fantasy never really finds the tonal or thematic glue it needs .",2
the most surprising thing about this film is that they are actually releasing it into theaters .,0
an enjoyably half-wit remake of the venerable italian comedy big deal on madonna street .,4
"triumph of love is a very silly movie , but the silliness has a pedigree .",2
"rather , pity anyone who sees this mishmash .",0
automatically pegs itself for the straight-to-video sci-fi rental shelf .,0
frank mcklusky c.i. is that movie !,2
"a restrained ribisi convinces as an italian , though if ever a movie needed one of the actor 's whiny jags to pump it up , this has to be among the rare ones .",2
"the level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter .",4
the country bears has no scenes that will upset or frighten young viewers .,2
"it 's clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long .",0
"while parker and co-writer catherine di napoli are faithful to melville 's plotline , they and a fully engaged supporting cast ... have made the old boy 's characters more quick-witted than any english lit major would have thought possible .",4
"a comedy that is warm , inviting , and surprising .",4
all prints of this film should be sent to and buried on pluto .,2
arteta directs one of the best ensemble casts of the year,4
spielberg 's realization of a near-future america is masterful .,4
sometimes shorter is better .,2
works because reno does n't become smug or sanctimonious towards the audience .,4
it is n't quite one of the worst movies of the year .,0
"the film has too many spots where it 's on slippery footing , but is acceptable entertainment for the entire family and one that 's especially fit for the kiddies .",2
"when you find yourself rooting for the monsters in a horror movie , you know the picture is in trouble .",0
he gets his secretary to fax it . '',2
there is n't one moment in the film that surprises or delights .,0
"though uniformly well acted , especially by young ballesta and galan -lrb- a first-time actor -rrb- , writer\/director achero manas 's film is schematic and obvious .",2
"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .",4
"much like its easily dismissive take on the upscale lifestyle , there is n't much there here .",0
mocking kung fu pictures when they were a staple of exploitation theater programming was witty .,2
"for the future , one hopes mr. plympton will find room for one more member of his little band , a professional screenwriter .",0
"though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes .",4
a full-frontal attack on audience patience .,0
"without resorting to camp or parody , haynes -lrb- like sirk , but differently -rrb- has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange .",4
was i scared ?,2
a mess when it comes to the characters and writing ... but works its way underneath the skin like few movies have in recent memory .,2
exposing the ways we fool ourselves is one hour photo 's real strength .,2
"big fat liar is little more than home alone raised to a new , self-deprecating level .",0
cusack 's just brilliant in this .,4
"the animation is competent , and some of the gags are quite funny , but jonah ... never shakes the oppressive , morally superior good-for-you quality that almost automatically accompanies didactic entertainment .",2
a damn fine and a truly distinctive and a deeply pertinent film .,4
wiser souls would have tactfully pretended not to see it and left it lying there,2
"some of seagal 's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto-pilot .",0
"an inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice unfolds .",4
"gangs , despite the gravity of its subject matter , is often as fun to watch as a good spaghetti western .",2
"it plays like a big-budget , after-school special with a generous cast , who at times lift the material from its well-meaning clunkiness .",2
"the impulses that produced this project ... are commendable , but the results are uneven .",2
-lrb- broomfield -rrb- uncovers a story powerful enough to leave the screen sizzling with intrigue .,4
"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books .",4
a quiet treasure -- a film to be savored .,4
"the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb .",4
rarely has a film 's title served such dire warning .,0
"lan yu is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery .",4
"when the precise nature of matthew 's predicament finally comes into sharp focus , the revelation fails to justify the build-up .",2
robin williams departs from his fun friendly demeanor in exchange for a darker unnerving role .,2
"as a director , mr. ratliff wisely rejects the temptation to make fun of his subjects .",2
goes a long way on hedonistic gusto .,2
this version of h.g. wells ' time machine was directed by h.g. wells ' great-grandson .,2
there can be no other explanation .,2
"it 's not thirsty , consuming passion which drives this movie .",2
rarely have i seen a film so willing to champion the fallibility of the human heart .,4
labute was more fun when his characters were torturing each other psychologically and talking about their genitals in public .,2
"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career .",0
"one of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",4
not to mention absolutely refreshed .,4
much of what is meant to be ` inspirational ' and ` uplifting ' is simply distasteful to audiences not already sharing -lrb- the movie 's -rrb- mindset .,0
